p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.89374249989e-05	0.000530052498647	GO:0015168	m	4	glycerol transmembrane transporter activity	359; 362; 363	AQP6; AQP5; AQP2	12	12
1.89374249989e-05	0.000349058962524	GO:0015254	m	5	glycerol channel activity	359; 362; 363	AQP6; AQP5; AQP2	12	12
3.11289021176e-05	0.000349058962524	GO:0015250	m	5	water channel activity	359; 362; 363	AQP6; AQP5; AQP2	14	14
3.87843291693e-05	0.000530052498647	GO:0015665	m	4	alcohol transmembrane transporter activity	359; 362; 363	AQP6; AQP5; AQP2	15	15
3.87843291693e-05	0.000530052498647	GO:0005372	m	4	water transmembrane transporter activity	359; 362; 363	AQP6; AQP5; AQP2	15	15
3.87843291693e-05	0.00438262919613	GO:0009992	b	5	cellular water homeostasis	359; 362; 363	AQP6; AQP5; AQP2	15	15
3.87843291693e-05	0.000349058962524	GO:0015166	m	5	polyol transmembrane transporter activity	359; 362; 363	AQP6; AQP5; AQP2	15	15
6.88785458592e-05	0.00268626328851	GO:1902710	c	3	GABA receptor complex	2558; 2562; 2567	GABRA5; GABRG3; GABRB3	18	18
6.88785458592e-05	0.0022041134675	GO:1902711	c	4	GABA-A receptor complex	2558; 2562; 2567	GABRA5; GABRG3; GABRB3	18	18
8.15269266733e-05	0.000550306755045	GO:0004890	m	5	GABA-A receptor activity	2558; 2562; 2567	GABRA5; GABRG3; GABRB3	19	19
8.20506643866e-05	0.0030358745823	GO:1901618	m	3	organic hydroxy compound transmembrane transporter activity	359; 362; 363; 6570	AQP6; SLC18A1; AQP5; AQP2	51	51
0.000128306894091	0.00122917899856	GO:0016917	m	4	GABA receptor activity	2558; 2562; 2567	GABRA5; GABRG3; GABRB3	22	22
0.000147072791507	0.0219138459346	GO:0060384	b	3	innervation	2558; 2562; 494470	GABRA5; GABRB3; RNF165	23	23
0.000149899877873	0.00122917899856	GO:0022838	m	4	substrate-specific channel activity	359; 362; 363; 2558; 2562; 2567; 3766; 3765; 65012	AQP6; AQP5; AQP2; GABRG3; KCNJ9; KCNJ10; GABRA5; SLC26A10; GABRB3	436	435
