p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.78974311238e-07	6.44256329105e-06	GO:0001533	c	3	cornified envelope	84648; 54544; 353145; 254910	LCE3D; LCE3E; CRCT1; LCE5A	46	46
3.88283773921e-05	0.00310627019137	GO:0031424	b	3	keratinization	84648; 353145; 254910	LCE3D; LCE3E; LCE5A	50	50
3.98726623045e-05	0.00426637486658	GO:0008544	b	4	epidermis development	6304; 84648; 54544; 353145; 254910	LCE3D; LCE3E; CRCT1; LCE5A; SATB1	300	299
0.000271729399717	0.0145375228849	GO:0043588	b	4	skin development	84648; 54544; 353145; 254910	LCE3D; LCE3E; CRCT1; LCE5A	242	242
0.000782143599473	0.0469286159684	GO:0030855	b	5	epithelial cell differentiation	84648; 54544; 353145; 254910; 27086	LCE3D; LCE3E; CRCT1; LCE5A; FOXP1	567	567
0.0021525152977	0.0767730456181	GO:0042116	b	4	macrophage activation	80149; 27086	ZC3H12A; FOXP1	52	52
0.00267030348953	0.0534060697905	GO:0032611	b	5	interleukin-1 beta production	80149; 27086	ZC3H12A; FOXP1	58	58
0.00267030348953	0.0534060697905	GO:0032652	b	5	regulation of interleukin-1 production	80149; 27086	ZC3H12A; FOXP1	58	58
0.00365021441654	0.0976432356425	GO:0032612	b	4	interleukin-1 production	80149; 27086	ZC3H12A; FOXP1	68	68
0.00442143061706	0.0663214592558	GO:0010508	b	5	positive regulation of autophagy	80149; 9779	ZC3H12A; TBC1D5	75	75
0.00477308474265	0.190923389706	GO:0097194	b	3	execution phase of apoptosis	6304; 80149	ZC3H12A; SATB1	78	78
0.0078785433465	0.0714486628481	GO:0032640	b	5	tumor necrosis factor production	80149; 27086	ZC3H12A; FOXP1	101	101
0.0081819931658	0.154203887447	GO:0031503	b	4	protein complex localization	55706; 80149	ZC3H12A; NDC1	103	103
0.0081819931658	0.0714486628481	GO:1903555	b	5	regulation of tumor necrosis factor superfamily cytokine production	80149; 27086	ZC3H12A; FOXP1	103	103
0.00833567733227	0.0714486628481	GO:0010634	b	5	positive regulation of epithelial cell migration	80149; 27086	ZC3H12A; FOXP1	104	104
0.00864694695966	0.154203887447	GO:0071706	b	4	tumor necrosis factor superfamily cytokine production	80149; 27086	ZC3H12A; FOXP1	106	106
0.0090083964784	0.108100757741	GO:0000981	m	3	RNA polymerase II transcription factor activity, sequence-specific DNA binding	6304; 148979; 64067; 27086	GLIS1; NPAS3; FOXP1; SATB1	631	631
